model_name,repeat,fold,n_features,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,ordinal_mae,severe_error_rate,within_1_accuracy,error
random_forest,1,5,41,0.877742946708464,0.8408418939831315,0.877742946708464,0.8519953747734224,0.5164826798629615,0.12225705329153605,0.0,1.0,
gradient_boosting,1,5,41,0.877742946708464,0.8629555673610884,0.877742946708464,0.863349933808233,0.6062340036563071,0.12225705329153605,0.0,1.0,
svm,1,5,41,0.7210031347962382,0.8499213414581867,0.7210031347962382,0.7609978083144411,0.5246811393695094,0.29153605015673983,0.012539184952978056,0.987460815047022,
knn,1,5,41,0.8652037617554859,0.8480051801952023,0.8652037617554859,0.8517387136161029,0.5872193976576628,0.13479623824451412,0.0,1.0,
naive_bayes,1,5,41,0.554858934169279,0.8271233650058323,0.554858934169279,0.6187200623982233,0.4432760654982877,0.45454545454545453,0.009404388714733543,0.9905956112852664,
decision_tree,1,5,41,0.8056426332288401,0.8114305234994889,0.8056426332288401,0.8084687734355887,0.5255123991025338,0.1974921630094044,0.003134796238244514,0.9968652037617555,
ada_boost,1,5,41,0.8025078369905956,0.8238254316471305,0.8025078369905956,0.8102973674249332,0.5238708377411717,0.1974921630094044,0.0,1.0,
ridge,1,5,41,0.8620689655172413,0.8570586122651674,0.8620689655172413,0.827564871358437,0.5044648296750162,0.13793103448275862,0.0,1.0,
logistic_regression,2,1,41,0.64375,0.8320503905179502,0.64375,0.7005492261006967,0.4860123536594125,0.375,0.01875,0.98125,
random_forest,2,1,41,0.8875,0.8513936781609196,0.8875,0.8642952971021562,0.536897908739064,0.1125,0.0,1.0,
gradient_boosting,2,1,41,0.884375,0.8650657347744751,0.884375,0.869387920123752,0.5859997812465819,0.115625,0.0,1.0,
svm,2,1,41,0.69375,0.8313086437674946,0.69375,0.7334600270985299,0.5304426949824247,0.309375,0.003125,0.996875,
knn,2,1,41,0.85,0.8115384615384615,0.85,0.8280000000000001,0.486060606060606,0.15,0.0,1.0,
naive_bayes,2,1,41,0.665625,0.806795218087235,0.665625,0.7121106424399741,0.4536015574302401,0.35625,0.021875,0.978125,
decision_tree,2,1,41,0.809375,0.809375,0.809375,0.809375,0.48484848484848486,0.19375,0.003125,0.996875,
ada_boost,2,1,41,0.746875,0.7748755656108598,0.746875,0.7598286972043942,0.4609762444973078,0.253125,0.0,1.0,
ridge,2,1,41,0.8625,0.8440878378378379,0.8625,0.8363690476190475,0.5264790764790764,0.1375,0.0,1.0,
logistic_regression,2,2,41,0.571875,0.8238014848569588,0.571875,0.6320444614346097,0.4529853765330434,0.434375,0.00625,0.99375,
random_forest,2,2,41,0.878125,0.8418478260869564,0.878125,0.8490864527629235,0.5121806298276886,0.121875,0.0,1.0,
gradient_boosting,2,2,41,0.8625,0.845613234140602,0.8625,0.8501718889218889,0.5803451803451803,0.1375,0.0,1.0,
svm,2,2,41,0.6375,0.8398131127450981,0.6375,0.692632230986215,0.49168989641580757,0.375,0.0125,0.9875,
knn,2,2,41,0.85,0.8308880023640663,0.85,0.8327309662910928,0.5341277569125671,0.15,0.0,1.0,
